id,manufacturer,name,cost
901,Lexus,SC,85457
902,Pontiac,Firebird,195216
903,Chevrolet,Blazer,178705
904,GMC,Savana,185700
905,Cadillac,CTS,103267
906,Daihatsu,Charade,147537
907,Isuzu,Rodeo,193733
908,Nissan,Quest,79955
909,BMW,M3,170270
910,Mercury,Mountaineer,45261
911,Volkswagen,Passat,190584
912,Mercury,Mariner,106833
913,Lamborghini,Gallardo,194538
914,Honda,Civic,54285
915,Honda,Accord,155197
916,Porsche,Cayman,125584
917,Suzuki,Swift,106256
918,GMC,Sierra 3500,146567
919,Ford,Econoline E350,128988
920,Chevrolet,Vega,143725
921,Mercury,Capri,183112
922,Porsche,911,174494
923,GMC,Sonoma,147919
924,Ford,Escape,14971
925,Pontiac,Grand Prix,112699
926,Volkswagen,GTI,133377
927,Lincoln,Town Car,60050
928,Volkswagen,Tiguan,179516
929,Land Rover,Freelander,160453
930,Oldsmobile,Custom Cruiser,54784
931,Dodge,Ram Van 3500,30205
932,Toyota,Land Cruiser,75537
933,Saturn,Relay,137734
934,Chevrolet,Tahoe,193918
935,Audi,A3,129650
936,Ford,F150,147586
937,Mercury,Grand Marquis,142094
938,Toyota,Sequoia,69658
939,Cadillac,XLR-V,61972
940,Jaguar,S-Type,28271
941,BMW,Z3,103079
942,GMC,Sierra 2500,179226
943,Acura,RDX,192759
944,Volvo,S80,26485
945,Mitsubishi,GTO,175476
946,Ford,F-250 Super Duty,15279
947,Mitsubishi,Tredia,89410
948,Oldsmobile,98,44639
949,Oldsmobile,98,185441
950,Dodge,Intrepid,58335
951,Pontiac,Grand Am,47984
952,Hyundai,Tiburon,64380
953,Buick,Lucerne,89873
954,Pontiac,Firefly,92818
955,Cadillac,XLR,166866
956,Buick,Roadmaster,52733
957,Pontiac,G8,120477
958,Honda,Civic,47361
959,Audi,RS6,184548
960,Jaguar,XJ Series,29107
961,Plymouth,Laser,12874
962,Pontiac,Sunbird,57984
963,Mercedes-Benz,SLS AMG,44706
964,Lincoln,Town Car,119273
965,BMW,X3,126363
966,Dodge,Ram 50,54402
967,Lexus,LS,141942
968,Audi,A6,25315
969,Chevrolet,Camaro,187822
970,Suzuki,Esteem,155369
971,Honda,Prelude,149299
972,GMC,Envoy,10232
973,Isuzu,Hombre,97704
974,Mercedes-Benz,E-Class,147260
975,Mercedes-Benz,W201,167504
976,Mazda,Navajo,44898
977,Suzuki,Esteem,128966
978,Scion,iQ,61491
979,Chevrolet,Caprice,113553
980,Jaguar,XJ Series,62079
981,Volvo,V70,118699
982,Volkswagen,GTI,193859
983,Ford,Escort,95112
984,Chevrolet,HHR,188219
985,Pontiac,Firebird,49509
986,Pontiac,Trans Sport,70657
987,Mercedes-Benz,CL-Class,185420
988,Chevrolet,Classic,13788
989,Hyundai,Veracruz,35845
990,Chevrolet,Monte Carlo,38040
991,Chrysler,New Yorker,189203
992,Volkswagen,rio,54068
993,Oldsmobile,Bravada,110866
994,Hyundai,Santa Fe,151111
995,Chrysler,Imperial,143706
996,Mazda,CX-7,149141
997,Mercedes-Benz,G-Class,152760
998,Volkswagen,Eurovan,183449
999,Aston Martin,Rapide,164520
1000,Chevrolet,Silverado 1500,104245
